content_id,module_id,module_title,content_type,title,body_text,video_url,video_duration_min,estimated_time_min,order_in_module,tags
L0001,M1,Bütçe Temelleri,text,Para Nereye Gidiyor?,"Ay sonunda paran bitiyorsa sorun her zaman az kazanmak değildir. Küçük ama sık harcamalar bütçeyi fark edilmeden eritir. İlk adım, harcamalarını kategorilere ayırmak ve ‘ihtiyaç’ ile ‘keyfi’ ayrımını yapmaktır. Basit bir kural: Önce zorunluları öde, sonra hedefin kadar birikim ayır, kalanla keyfi harcamayı yönet.",,0,2,1,bütçe;ihtiyaç_keyfi;farkındalık
L0002,M1,Bütçe Temelleri,video,Bütçe Temelleri – Kısa Video,Bu içerik bir video olarak tasarlanmıştır. Demo sırasında video yerine kısa bir özet gösterebilirsiniz.,placeholder,3,3,2,video;özet
L0003,M2,Harcama Davranışı & Farkındalık,text,Küçük Harcamalar Büyük Etki Yaratır,"Günde 2–3 küçük harcama masum görünür; ancak ay sonunda ciddi bir toplam oluşturabilir. Özellikle kahve, atıştırmalık, uygulama içi satın alma ve taksi gibi kalemler ‘fark edilmeden’ artabilir. Hedefin: En sık tekrar eden harcamayı bul ve bir hafta boyunca küçük bir iyileştirme dene.",,0,2,1,harcama;alışkanlık;abonelik
L0004,M2,Harcama Davranışı & Farkındalık,video,Harcama Davranışı & Farkındalık – Kısa Video,Bu içerik bir video olarak tasarlanmıştır. Demo sırasında video yerine kısa bir özet gösterebilirsiniz.,placeholder,3,3,2,video;özet
L0005,M3,Birikime Giriş,text,Birikim: Az Ama Düzenli,"Birikim yapmak için büyük paralar gerekmez. Önemli olan düzenli bir alışkanlık oluşturmak ve hedef belirlemektir. Önce acil durum fonunu düşün: Beklenmedik giderler için küçük bir yastık, stresini azaltır. Kural: Her ay küçük bir tutarı otomatik ayırmak, ‘canım isterse biriktiririm’den daha etkilidir.",,0,2,1,birikim;acil_durum;hedef
L0006,M3,Birikime Giriş,video,Birikime Giriş – Kısa Video,Bu içerik bir video olarak tasarlanmıştır. Demo sırasında video yerine kısa bir özet gösterebilirsiniz.,placeholder,3,3,2,video;özet
L0007,M4,Enflasyon & Faiz (Basit),text,Enflasyon ve Faiz Neden Önemli?,"Enflasyon, fiyatların genel seviyesinin artmasıdır; yani aynı parayla zamanla daha az şey alırsın. Faiz/getiri ise paranın zaman içinde artmasıdır. Birikimini değerlendirirken enflasyon etkisini de düşünmelisin. Basit fikir: Paranın ‘değerini’ korumak için birikiminin getirisi, enflasyonun üzerinde olmalıdır.",,0,2,1,enflasyon;faiz;getiri
L0008,M4,Enflasyon & Faiz (Basit),video,Enflasyon & Faiz (Basit) – Kısa Video,Bu içerik bir video olarak tasarlanmıştır. Demo sırasında video yerine kısa bir özet gösterebilirsiniz.,placeholder,3,3,2,video;özet
L0009,M5,BES & Uzun Vadeli Düşünme,text,Uzun Vade ve BES Mantığı,"Uzun vadeli birikimde en güçlü etki ‘zaman’dır. Küçük tutarlar bile uzun vadede büyüyebilir. BES (Bireysel Emeklilik Sistemi), düzenli birikimi teşvik eder ve devlet katkısı gibi avantajlar sunar. Önemli ders: Erken başlamak, aylık tutarı artırmaktan bile daha büyük fark yaratabilir.",,0,2,1,bes;uzun_vade;bileşik
L0010,M5,BES & Uzun Vadeli Düşünme,video,BES & Uzun Vadeli Düşünme – Kısa Video,Bu içerik bir video olarak tasarlanmıştır. Demo sırasında video yerine kısa bir özet gösterebilirsiniz.,placeholder,3,3,2,video;özet
